Text,Category,Rating,Comments,Tags,Created At
"Reggae-inspired rhythm, harmonic string layers, vibrant brass stabs, steady bass groove, uplifting vocals","Selecionados > Reggae Master",15,"","",2025-02-18T13:02:26.097Z
"Traditional reggae rhythm, rich orchestral layers, bright brass hits, steady bass groove, uplifting vocal harmonies","Selecionados > Reggae Master",4,"female voice; português, brasil","",2025-02-18T13:02:26.097Z
"Soulful reggae jam, falsetto vocal improvisations, lush brass harmonies, and cascading guitar phrases.","Selecionados > Reggae Master",4,"português, brasil","",2025-02-18T23:23:45.312Z
"Uplifting reggae vibe, vocal harmonies intertwining with melodic guitar improvisations and rhythmic brass hits.","Selecionados > Reggae Master",3,"#METAIS FORTES; #REGGAE ALTO ASTRAL","",2025-02-18T23:23:45.312Z
"Expressive reggae beat, dynamic vocal runs intertwined with trumpet solos, gentle guitar licks, and layered harmonies.","Selecionados > Reggae Master",1,"","",2025-02-18T23:23:45.312Z
"Reggae roots duet, bass solo, slide guitar, guitar solo, Electric organ solo, brass harmonies, drums vintage, drums grunge, alternating male and female vocals","Selecionados > Reggae Master",-1,"female voice; male voice; português, brasil","",2025-02-18T13:02:26.097Z
"Reggae rhythm, lush string ensemble, rhythmic guitar accents, melodic brass stabs, soaring vocal harmonies","Selecionados > Reggae Master",4,"[color:bg-soft-green]; voice:female; português, brasil","",2025-02-18T13:02:26.097Z
"Melancholic reggae rhythm, distant guitar echoes, warm saxophone tones, and subtle backing harmonies.","Selecionados > Reggae Master",4,"#REGGAE LENTO; #GUITAR AO FUNDO","",2025-02-18T23:23:45.312Z
"Pulsing reggae groove, layered vocal harmonies, atmospheric piano arpeggios, dynamic brass stabs, and soft string swells.","Selecionados > Reggae Master",2,"#VIBRANTE; Reggae energético; male voice; português, brasil; português, brasil","",2025-02-18T13:02:26.097Z
"Dynamic reggae, harmonic organ riffs, and bright brass hits, bongos, conga, slide guitar, guitar solo, bass solo, vocal  Harmony  , Timbales, Steppers Drumbea

Roots reggae beat, harmonized vocal crescendos, vintage organ stabs, and dynamic percussion grooves.","Selecionados > Reggae Master",4,"Dynamic reggae, harmonic organ riffs, and bright brass hits, bongos, conga, slide guitar, guitar solo, bass solo, vocal  Harmony  , Timbales, Steppers Drumbea, vintage organ stabs","",2025-02-18T23:23:45.312Z
"Free-flowing reggae rhythm, saxophone improvisations, soulful vocal scatting, and deep bass pulses.","Selecionados > Reggae Master",1,"","",2025-02-18T23:23:45.312Z
"Hypnotic reggae rhythm, scat-style vocal improvisations, mellow saxophone melodies, and deep bass grooves.","Selecionados > Reggae Master",0,"","",2025-02-18T23:23:45.312Z
"Intricate reggae melody, improvisational piano chords, melodic trumpet highlights, and layered vocal textures.","Selecionados > Reggae Master",0,"português, brasil","",2025-02-18T23:23:45.312Z
